A,B
1.6668015,2.9557946
1.6742917,2.9545124
1.6868896,2.9705732
1.6648679,2.921407
1.6856788,2.9651418
1.663672,2.9597905
1.6676109,2.9733267
1.6627736,2.9703498
1.6684624,2.9066525
1.6644757,2.9336042
1.6739134,2.9621553
1.6688465,2.9188304
1.6718667,2.8971455
1.6720707,2.9410877
1.6708615,2.9375756
1.6717342,2.9554803
1.6832939,2.9470222
1.6742096,2.9616232
1.678677,2.9684176
1.6803557,2.9827626
1.6659331,2.967314
1.6737732,2.9531596
1.6700218,2.9884243
1.6657718,2.9625108
1.6681871,2.9349625
1.6746385,2.9403799
1.6548836,2.920141
1.6738575,2.9990883
1.6795038,2.952657
1.6634935,2.9072623
1.6684945,2.9293947
1.672811,2.9437962
1.6690497,2.9387202
1.6840105,2.9394279
1.6641665,2.9090111
1.666122,2.9415946
1.6638101,2.9033701
1.6845129,3.0026388
1.6690692,2.8994658
1.671557,2.95275
1.6788929,2.954442
1.6656125,2.9061773
1.6709753,2.9839435
1.6668655,2.9795728
1.6730548,2.94828
1.6770357,2.9922793
1.6802596,2.9514883
1.6658622,2.9787695
1.6671383,2.9315596
1.6771414,2.9020236
1.6647375,2.9399252
1.6673243,2.9778538
1.6735122,2.9286625
1.6763829,2.9502654
1.6696309,2.9824922
1.6690983,2.9566276
1.681435,2.938062
1.6576828,2.9562123
1.6766634,2.949958
1.6800449,2.957957
1.6573453,2.9352345
1.6631476,2.953429
1.668295,2.9170363
1.6565022,2.9324996
1.684289,2.9318895
1.6713839,2.896861
1.6701636,2.9314463
1.6788824,2.9693062
1.6738806,2.9792166
1.655093,2.95165
1.6814581,2.990987
1.6723081,2.9726048
1.6758158,2.9124691
1.6573495,2.9156892
1.6759127,2.9904656
1.682437,2.9758503
1.6870232,2.972821
1.6779513,2.985018
1.6817251,2.9892192
1.6755939,2.9686491
1.6841986,2.9495952
1.6657491,2.936449
1.6684953,2.9396887
1.6764547,2.9561884
1.6560556,2.924401
1.6587456,2.9770157
1.662926,2.9281259
1.6791823,2.9482584
1.6821226,2.924303
1.6645381,2.9387014
1.6632783,2.9395387
1.6693816,2.9468355
1.6665508,2.9026022
1.6806265,2.9841416
1.6744407,2.9704938
1.6575803,2.9170358
1.6658586,2.918246
1.6745281,2.916233
1.6577843,2.9443748
1.6785865,2.979091
1.6643178,2.9649487
1.6812284,2.9494402
1.6788813,2.9563766
1.6640846,2.965859
1.6751666,2.957653
1.6668618,2.9075868
1.6755018,2.962558
1.6747981,2.958225
1.6774715,2.9635937
1.6692592,2.9434733
1.6704513,2.9653041
1.6756455,2.9348435
1.6635591,2.9206283
1.6650844,2.9821684
1.658744,2.917473
1.6668082,2.9578764
1.6710229,2.9704273
1.6664978,2.9771717
1.6617128,2.9256828
1.6605939,2.9512231
1.6737041,2.9861455
1.6686388,2.9048152
1.6694905,2.9271991
1.6573049,2.9194193
1.6617984,2.9650912
1.6819164,2.9748127
1.6662815,2.860602
1.6542861,2.955355
1.6671093,2.9266386
1.6663712,2.9463897
1.6703837,2.968878
1.6759887,2.9493043
1.6749865,2.962126
1.6577114,2.959082
1.6666352,2.9770477
1.6782354,2.9702127
1.6700261,2.972707
1.6741238,2.944144
1.6643735,2.9398022
1.6629604,2.9435465
1.6705104,2.954139
1.6750504,2.969479
1.667552,2.9419456
1.6740385,2.9779198
1.6779126,2.931971
1.6762077,2.9797995
1.6663601,2.9548802
1.6696366,2.9408948
1.6825601,2.9626539
1.6838008,2.9525626
1.6597558,2.9409382
1.6693817,2.8911672
1.6776999,2.9409647
1.6713822,2.9357824
1.6770965,2.938104
1.6759377,2.977784
1.6791558,2.9673102
1.6848332,2.9444177
1.663903,2.9476185
1.6739869,2.9636
1.6729081,2.9383352
1.6655191,2.9352198
1.6738795,2.977763
1.6716851,2.9659772
1.669308,2.9414113
1.6711242,2.9640782
1.6845769,2.9525197
1.6716475,2.9678733
1.6751542,2.9554899
1.6667962,2.9784348
1.6799858,2.9398632
1.655274,2.9131987
1.6662406,2.9119928
1.6746817,2.9527528
1.6758674,2.959983
1.6650455,2.9526188
1.6790307,2.9365811
