A,B
1.8200549,2.9027317
1.8119318,2.9683356
1.8166049,2.9674518
1.8408637,3.0787036
1.7610711,2.8233442
1.817756,2.9109938
1.8267779,2.9404604
1.7691607,2.8767138
1.8361859,3.0329578
1.8296939,2.9500618
1.7757639,2.9159536
1.7868037,2.9167256
1.8418188,3.0130794
1.8311111,2.96612
1.7954233,2.8770843
1.7844707,2.9394479
1.783473,2.8921876
1.7960559,2.9144638
1.847533,2.9399939
1.8174748,2.9448597
1.7794602,2.88785
1.8214821,2.9327478
1.7902037,2.8349216
1.8595711,3.030946
1.850083,3.006636
1.7745233,2.8723135
1.7946869,2.960604
1.766257,2.9058642
1.870182,2.9853554
1.8392099,2.9662437
1.75026,2.8602424
1.7738099,2.929
1.8659711,2.9644077
1.7863977,2.8974895
1.7917181,2.8847296
1.7631129,2.954594
1.7923667,2.9224298
1.9059771,3.0409298
1.874014,2.995914
1.8476349,2.9515238
1.8119369,2.9486675
1.7866272,2.8393157
1.8078362,2.9089901
1.8199971,3.0342457
1.832707,2.9730601
1.7576053,2.8527856
1.8325351,2.9676225
1.7309889,2.877718
1.8094709,2.9569817
1.791264,2.8983223
1.8029151,2.9432156
1.8218981,2.949042
1.7703558,2.8107579
1.77691,2.9522321
1.7899898,2.9552937
1.8244344,2.853602
1.7714437,2.8391318
1.855737,3.0434277
1.7877913,2.8740122
1.859576,3.0575895
1.8171381,2.9454596
1.7686881,2.8828201
1.7835107,2.8719618
1.774362,2.9393296
1.8013779,2.847326
1.7860061,2.9516358
1.7686963,2.871942
1.8059578,3.0073416
1.806211,2.8785558
1.857625,2.9306817
1.780901,2.8374276
1.8488709,2.9943993
1.8583422,3.042862
1.7612971,2.8711119
1.821123,2.8924258
1.770743,2.8549137
1.7664932,2.8622696
1.7550049,2.8026679
1.7985231,2.9522896
1.8221151,2.9002979
1.8306826,2.8928995
1.7793397,2.8777957
1.8768699,2.9784336
1.7876457,2.9084618
1.779933,2.8338737
1.8645071,2.9858122
1.7651,2.8982375
1.8015621,2.9007719
1.8063209,2.9714658
1.7953627,2.9255118
1.8310272,2.9450543
1.824331,2.900016
1.8324996,2.9323695
1.8584813,2.991844
1.7024459,2.7237997
1.8077769,2.961242
1.8083979,2.939998
1.7592988,2.8189719
1.7976719,2.9829175
1.817142,2.9330099
1.781827,2.93816
1.8405976,2.9444277
1.8161008,2.9648035
1.8127424,2.894312
1.836659,3.002132
1.7311107,2.7776537
1.780784,2.8852918
1.724076,2.800844
1.7675768,2.8321097
1.7446191,2.8741236
1.834007,3.04561
1.837611,2.9500537
1.7941008,2.909076
1.8509969,2.9734356
1.7860478,2.9018917
1.8004018,2.9044693
1.789149,2.882918
1.8525399,3.011102
1.7849373,2.8296897
1.7990289,2.9223819
1.7882332,2.846742
1.8090417,2.9045377
1.7901531,2.933356
1.806909,2.9092398
1.8423418,3.017576
1.7685978,2.87369
1.783454,2.9928718
1.770178,2.9295394
1.7742969,2.8507137
1.799733,2.9093661
1.7951549,2.8824015
1.8200821,2.8731337
1.8171201,2.9155402
1.868206,3.035538
1.8324568,2.9621382
1.7338178,2.74811
1.807241,2.8996563
1.8262068,2.991334
1.8530109,3.0023217
1.8151069,2.9693437
1.828042,3.0191064
1.790003,2.9183376
1.824633,2.9176118
1.838403,2.979148
1.785858,2.8608057
1.8115213,2.890734
1.7251898,2.7977214
1.7843578,2.9014835
1.8181349,3.018666
1.757095,2.7804956
1.8070168,2.9196892
1.7987877,2.9302483
1.800322,2.897174
1.8530681,2.974234
1.7891834,2.8988175
1.7467518,2.8094199
1.8369771,2.9754598
1.8126637,2.8662438
1.7896141,2.9267662
1.801346,2.8975918
1.826628,2.9124699
1.7893758,2.8380356
1.827778,2.9589381
1.7998903,2.8495836
1.783145,2.864522
1.811993,2.9330857
1.7506293,2.764156
1.8390199,2.9593658
1.7603139,2.8152995
1.8210981,2.9681802
1.8260199,2.9839218
1.8463578,2.9567142
1.7758238,2.8434296
1.7937801,2.9115357
1.777619,2.8105376
1.8115039,2.940348
1.7848258,2.8291156
1.8370159,2.9982896
1.8835657,3.0839417
1.8306723,2.893572
1.805533,2.896204
1.8393319,2.9726598
1.7966819,2.8683677
1.790573,2.8539002
1.8251221,2.9156556
1.7635074,2.796604
1.840234,2.946376
1.856552,3.0165524
1.7599097,2.8518417
1.7947068,2.9963818
1.845805,3.020232
1.7946051,2.8574376
1.7674402,2.8354702
1.8228359,2.943268
1.7593098,2.8460073
1.8580898,2.990306
1.7751278,2.8568435
1.839565,3.023848
1.7456031,2.7593381
1.7855757,2.8942137
1.7718582,2.8245738
1.7937961,2.93156
1.8210143,2.8643138
1.783866,2.970956
1.9046968,3.0481677
1.7765177,2.9063778
1.7837731,2.840914
1.8040218,2.962308
1.8263148,2.968698
1.798166,2.9822981
1.772539,2.837258
1.8095609,2.8956895
1.7260292,2.8291917
1.811435,2.9691122
1.8362939,2.9036894
1.821976,2.9238079
1.861832,3.06579
1.7803477,2.8464797
1.837574,3.0117419
1.8514699,2.935446
1.8228239,2.962012
1.791556,2.931702
1.8330951,2.983032
1.7576871,2.8621125
1.756705,2.8264914
1.7809049,2.9249043
1.7635101,2.7881758
1.8692031,3.048076
1.732557,2.8805423
1.8598269,2.9808517
1.8093406,2.9148417
1.7582891,2.83414
1.7668508,2.8432436
1.8095479,2.935776
1.8263549,2.9490194
1.7963,2.8950477
1.8330469,2.9906316
1.869419,3.0321515
1.7934709,2.939882
1.8055271,2.9069097
1.813509,2.956472
1.8170551,2.9474936
1.838174,2.879066
1.762484,2.8865118
1.7912481,2.843768
1.7723297,2.8747296
1.761634,2.9100757
1.817875,2.936648
1.8364588,2.9879873
1.835334,3.010016
1.7903051,2.8909
1.8214209,2.88972
1.8167,2.9136424
1.8270148,2.9567015
1.8617234,2.9910476
1.891448,3.0362797
1.832766,3.03384
1.7950779,2.8090622
1.7667472,2.819662
1.8269948,2.981876
1.7737101,2.9379997
1.795706,2.87141
1.7436682,2.8287802
1.7602942,2.884926
1.8189219,2.8811722
1.8139251,2.8714724
1.830451,2.9775677
1.7517879,2.8776019
1.8136779,2.9742038
1.758599,2.8041296
1.8281578,2.9998238
1.7927821,2.9205575
1.7870092,2.9053779
1.8521982,2.931948
1.831008,2.8550556
1.8732892,3.0133028
1.796894,2.8933198
1.7642599,2.9233599
1.8887471,3.014352
1.8508438,2.98561
1.866735,2.9379003
1.8233818,2.9147537
1.7893761,2.900686
1.8108847,2.882418
1.8296592,2.9102302
1.8087748,2.9435098
1.8370332,2.983552
1.8296418,2.8916938
1.849871,2.967784
1.794169,2.9234297
1.8865031,2.9860618
1.7669216,2.8717093
1.7689898,2.93757
1.8060349,2.885308
1.809858,2.9374897
1.7897061,2.8774958
1.835224,2.9352217
1.8088042,2.928124
1.7807512,2.9339356
1.8290111,2.941056
1.8035082,2.8914838
1.753737,2.7992563
1.7687781,2.86855
1.766354,2.8133917
1.7729388,2.9352176
1.8415463,2.9578397
1.7127758,2.8191876
1.8578538,3.0148659
1.77264,2.9003139
1.8573838,2.9863355
1.796699,2.913574
1.7810903,2.799194
1.7884732,2.9089859
1.810258,2.8627875
1.734136,2.8922658
1.759031,2.8205
1.8156203,2.998542
1.8033347,2.923068
1.7911191,2.8663156
1.8378931,2.9640663
1.8213412,2.9920518
1.8349977,2.9687915
1.8242267,2.9909914
1.8177643,2.9778101
1.756589,2.8575919
1.794758,2.9170477
1.8373972,2.9636161
1.76497,2.8884218
1.7981857,2.9045577
1.7759209,2.960424
1.7921852,2.880274
1.8417182,2.981724
1.806874,3.0061018
1.8076628,2.9711041
1.795115,2.895274
1.846459,2.943172
1.825827,2.8684423
1.7914289,2.8779035
1.8022491,2.9669032
1.8055961,2.97413
1.7550539,2.842184
1.7927071,2.943172
1.8048818,2.937738
1.8017942,2.87214
1.818718,3.0040798
1.821118,2.9618058
1.8032709,2.8797376
1.8923959,3.066026
1.8039193,2.939242
1.78731,2.8469317
1.8086228,2.9488497
1.850058,2.9335518
1.881202,3.0200915
1.8113973,2.97111
1.8099898,2.9297876
1.795278,2.893226
1.783099,2.9463255
1.795929,2.8731017
1.791257,2.8937678
1.844741,2.9411376
1.832083,2.9405882
1.7709119,2.8932478
1.786659,2.8512602
1.8785592,2.9968383
1.7983719,2.895702
1.7886908,2.9530678
1.800949,2.8919413
1.8096238,2.9520576
1.8277221,2.956542
1.7841289,2.9169376
1.7759291,2.880574
1.822344,2.8922482
1.8383471,2.9650857
1.8110743,2.9173338
1.8420027,2.9075599
1.774873,2.8858216
1.7986029,2.8757243
1.818698,3.0234358
1.7788548,2.8943079
1.7958338,2.974298
1.7863791,2.907876
1.872907,2.9332843
1.8153187,2.99031
1.7876301,2.927652
1.8349931,2.9080079
1.8652779,3.0136318
1.8531742,3.02705
1.8710929,3.053608
1.776342,2.894064
1.7846078,2.8644476
1.7842221,2.865962
1.844991,3.0449677
1.8515129,2.9675918
1.743917,2.9009497
1.8399882,2.95345
1.8313472,2.9382038
1.762348,2.8729815
1.8147658,2.9836776
1.8292068,2.8851638
1.8677418,3.0036054
1.8547479,3.0046177
1.860852,2.9651875
1.7586058,2.8771157
1.8138978,2.9174516
1.8212758,2.9282758
1.8295128,3.0481837
1.801305,2.904242
1.812369,2.9313536
1.816074,2.868358
1.8058739,2.9384296
1.8887569,3.0757835
1.7896582,2.9151978
1.7652968,2.8550775
1.8747929,3.0360758
1.7937953,2.9068122
1.8434721,3.0179543
1.8245442,2.9828176
1.8012558,2.888476
1.7788922,2.8767016
1.8197682,2.9625678
1.771396,2.922476
1.7943482,2.9026062
1.7776228,2.8664658
1.8235172,2.9208179
1.8252519,2.9683623
1.8444588,3.0068495
1.8185961,2.893314
1.762289,2.935626
1.8245798,3.016894
1.8150179,2.838666
1.8494209,3.0012996
1.771507,2.8903723
1.7411041,2.774714
1.826227,2.9547238
1.8061619,2.8951573
1.806481,2.9135437
1.8445861,2.9906294
1.8481112,2.942136
1.764248,2.8428879
1.807525,2.9873257
1.7674693,2.9316778
1.8745121,3.0231936
1.7635998,2.8636997
1.8741688,3.0154798
1.7620679,2.9656534
1.8594297,2.9775376
1.8127738,3.0544503
1.8258519,2.936298
1.8111287,2.9308555
1.7774148,2.840904
1.7583219,2.8139558
1.7704833,2.881626
1.8445534,2.8984022
1.8058939,2.8855698
1.8521882,2.8658183
1.803668,2.9507918
1.7244779,2.7540357
1.7760888,2.9139702
1.7480649,2.793438
1.7732289,2.8746777
1.888868,2.9782498
1.7622801,2.8478038
1.8328918,2.906296
1.7452328,2.8401997
1.8674628,2.9854894
1.8217058,2.965638
1.8146619,2.9772856
1.8368084,2.9717383
1.8464291,2.924206
1.8191661,2.954586
1.856565,2.9937563
1.805907,2.9507155
1.8429606,2.9880073
1.799408,2.8983922
1.7930565,2.8859801
1.7335608,2.7976015
1.8178213,2.94223
1.8667619,3.030162
1.7785889,2.822558
1.819994,2.9618976
1.7741381,2.846638
1.8150151,2.91329
1.726707,2.7729616
1.8186998,2.9843755
1.852952,2.9554515
1.8685979,2.9792798
1.7820791,2.857874
1.8080871,2.9328737
1.73767,2.863086
1.8265152,2.9147375
1.8173112,2.9485679
1.831782,2.9575298
1.810507,2.9787216
1.8186378,2.92136
1.7980679,2.888602
1.7353938,2.8885436
1.8420419,2.963408
1.8332357,2.95017
1.759702,2.784258
1.737711,2.8789976
1.8226489,2.9057295
1.7920498,2.8496497
1.76945,2.85165
1.7647363,2.8766704
1.7606932,2.8716636
1.7967881,2.9641562
1.745617,2.821852
1.7754968,2.9780142
1.794526,2.8784842
1.779374,2.8564637
1.8140558,2.9193778
1.830642,3.0164297
1.799209,2.9791741
1.8591361,3.0151858
1.7843119,2.8373423
1.8263509,2.9436576
1.833485,2.9460437
1.8018777,2.8991942
1.740588,2.87374
1.7242321,2.854038
1.842946,2.9777737
1.7929248,2.884416
1.8145459,2.9344358
1.7815611,2.9047523
1.826507,3.022812
1.7753757,2.8756752
1.7948709,2.8892038
1.7925162,2.870058
1.8211722,2.993708
1.8033001,2.8861196
1.8099971,3.0133862
1.7629471,2.8723657
1.7525498,2.8136597
1.7496072,2.8628078
1.8469042,3.0126083
1.8821328,3.0008156
1.794609,2.9686794
1.8216932,2.9678261
1.7923883,2.8632076
1.8237243,2.928876
1.8439782,2.9577057
1.8377602,3.024132
1.8031678,2.8995435
1.7896554,2.9308302
1.8099211,2.923046
1.815177,2.9530818
1.8448012,2.9747136
1.8448611,2.9854538
1.8339318,3.015232
1.8228561,2.9204557
1.8628149,3.0284078
1.873959,2.974244
1.7832748,2.7801979
1.8410801,3.0039039
1.8086406,3.0053058
1.7746139,2.8556938
1.7647362,2.8509083
1.8220797,2.960288
1.844034,2.9860158
1.7148199,2.7301042
1.799932,2.933702
1.7978837,2.95676
1.748717,2.8122761
1.771098,2.9241598
1.830883,2.990031
1.794968,2.926326
1.830634,2.937298
1.8924211,3.00434
1.7633718,2.9012477
1.7801278,2.8882036
1.802977,2.9223056
1.825407,2.9603279
1.891891,3.0239322
1.724343,2.8040357
1.812076,2.9247458
1.8477672,2.973116
1.7802429,2.9559774
1.8431721,3.0067563
1.7947809,2.8378098
1.836173,2.8834457
1.8417258,3.0437582
1.8423178,2.9809437
1.8690449,2.9821875
1.782466,2.908426
1.78029,2.894794
1.8346881,2.9483442
1.7524197,2.8512938
1.8390008,2.9166837
1.846856,2.9316962
1.6869689,2.7725134
1.7767439,2.8486097
1.8041289,2.9046354
1.7906129,2.8603196
1.7708629,2.884156
1.7732008,2.8587856
1.808618,2.9324043
1.8597021,3.0495298
1.8021522,2.8605342
1.7449889,2.8399875
1.7558391,2.86479
1.7951789,2.9186661
1.8164641,2.9300902
1.7963449,2.9274378
1.8230182,2.9359438
1.8494961,2.9029636
1.7765449,2.8482978
1.7491229,2.790016
1.8805902,3.0038478
1.8152041,2.9762821
1.8648219,3.050234
1.8559451,2.9894319
1.803279,2.9164915
1.8370818,2.917816
1.7785017,2.933508
1.7345004,2.8464658
1.824384,2.9175458
1.754594,2.858784
1.7787939,2.9260638
1.8273268,3.0419917
1.753932,2.7877202
1.8182441,2.907962
1.7912968,2.8553917
1.8561898,3.0388677
1.8098762,2.9060938
1.813292,2.950084
1.734452,2.8590875
1.8076,2.9151535
1.785944,2.8504338
1.8802971,3.030736
1.8141731,2.9005597
1.7452568,2.8113577
1.8077903,2.8940437
1.761851,2.948958
1.8333906,2.9441261
1.803825,2.967816
1.8272078,3.0081327
1.7841438,2.8681397
1.7604842,2.8931577
1.8383911,2.9662502
1.7923322,2.9204261
1.74933,2.8015099
1.783878,2.8639238
1.8558961,3.0178897
1.7694879,2.9268706
1.7891775,2.89194
1.8208102,2.991052
1.7710619,2.8704395
1.8017939,2.996836
1.6578271,2.740658
1.7495769,2.8702598
1.84681,2.8960736
1.8057668,3.0045812
1.7631842,2.865976
1.804924,2.8141077
1.7776622,2.867652
1.8722299,2.929956
1.796894,2.859772
1.7799371,2.9008658
1.837421,2.981806
1.8676517,3.033724
1.7743764,2.88394
1.8355688,2.9416237
1.8625189,3.0393314
1.7902728,2.861588
