dq,naive
0.96705806,0.37961382
0.8750211,0.33044848
0.69936436,0.32031608
1.0539196,0.32081386
0.4475734,0.35539755
1.4124101,0.31554794
0.7447938,0.37632015
1.1433331,0.3730793
1.53087,0.31343892
1.354245,0.3326759
0.6162651,0.28883538
0.69670415,0.3031106
1.0686233,0.36468664
-0.04871472,0.3772649
1.1277475,0.3448745
0.75963485,0.34521553
0.7776509,0.38310784
1.3807402,0.31090844
0.48500332,0.3710849
0.34498218,0.30441913
0.719004,0.37165204
0.93292373,0.31364205
1.7054178,0.32635164
0.3689926,0.34519577
0.13456687,0.34062296
0.96259856,0.34358785
1.2995232,0.2960057
0.23534106,0.31180465
1.2032717,0.34049356
0.26034525,0.36702034
0.21216139,0.31858695
1.0876333,0.3290239
1.4301369,0.32841006
0.9003008,0.31677932
1.1498195,0.33592013
0.5113007,0.34963265
0.11712775,0.34862837
0.9142579,0.31671107
0.5151651,0.31113344
0.86127657,0.34819457
1.3127079,0.3215777
1.0073364,0.3373633
1.1876404,0.32420433
1.6720098,0.32109407
1.2157463,0.34315306
0.5968025,0.32316473
1.468877,0.30640355
1.9668939,0.31406838
0.8980333,0.34647927
1.1164296,0.29815322
0.9145698,0.3468319
0.4641381,0.29280668
1.2423748,0.34010392
0.6543878,0.3321573
0.71679974,0.31391856
1.468275,0.34808767
0.6620057,0.36370504
0.20040323,0.33112362
0.63794684,0.3413195
0.020511843,0.32888177
1.246465,0.31755614
1.123299,0.34022668
1.5989907,0.344308
0.25803933,0.35088557
0.65976375,0.36649686
-0.07639625,0.38365936
0.59917814,0.33634922
1.093546,0.3190908
0.5404157,0.35445383
0.9380849,0.3321927
0.5825176,0.3848137
1.199747,0.3390405
0.28222093,0.3560881
0.65403837,0.3408782
1.1030235,0.3501808
0.723354,0.35017207
0.5010351,0.38167104
0.14493623,0.37546575
0.22013769,0.3558746
-0.0035275312,0.3301626
1.4637308,0.32008418
1.4377995,0.3352886
0.61776036,0.32859075
1.456194,0.27054104
0.236591,0.35809708
0.87371874,0.36901078
0.556948,0.3421192
1.3301557,0.31511092
1.6927067,0.3118923
1.9628867,0.31970724
0.63785225,0.32109737
0.775753,0.3275883
1.20457,0.31748784
0.1561735,0.32428357
1.2487296,0.3483983
0.7349726,0.32812074
1.6366524,0.32863337
1.1011735,0.3349288
0.97865045,0.34817332
0.55412084,0.3455655
1.5837265,0.3177725
0.2408587,0.36674556
0.75091624,0.3133121
0.9427148,0.3250485
0.2599588,0.35646012
1.7414253,0.31363204
0.52627844,0.3288344
0.54491085,0.3342187
1.2205064,0.32631058
0.3977805,0.3533718
0.37863195,0.3326621
0.6910865,0.32602635
0.40096918,0.38999182
0.6701416,0.31543648
1.6538035,0.37139666
0.6001232,0.2701821
0.5578042,0.3367389
1.093794,0.32928
1.1597508,0.33714488
0.9097315,0.312332
0.8220082,0.31811005
0.22059019,0.37668225
0.5851606,0.3215674
0.5515275,0.36031306
1.236424,0.33140394
0.8851739,0.35239637
1.7218778,0.3428869
1.0073173,0.35104787
1.1526417,0.33111325
0.60007954,0.32631737
0.035962384,0.34808686
-0.37318856,0.38021356
0.77330965,0.30430907
0.17895788,0.29732668
1.2840127,0.34564367
1.4361826,0.34734848
1.4391451,0.35853115
1.4855767,0.33254606
0.8656713,0.33064935
1.3714896,0.38794458
1.1368303,0.36990067
1.1548512,0.3568115
1.0509317,0.33659962
0.21579038,0.34410623
0.68727094,0.3495608
0.92212856,0.3463606
0.8226491,0.3384642
0.9996542,0.3639585
0.470557,0.35872808
0.60390186,0.32036737
0.86429685,0.32732856
1.0482707,0.2929275
0.96350986,0.3176948
0.47912505,0.36767215
0.48102224,0.35194558
0.64648044,0.33572832
0.7761968,0.35616675
1.1647677,0.2953044
0.42774895,0.37518826
1.274679,0.3624762
0.67674226,0.3382053
1.0412309,0.3386496
0.25114933,0.3829069
1.2291043,0.3558072
1.5429453,0.29763606
1.1788578,0.33928978
0.96187776,0.34053102
1.8610332,0.30467865
0.9187651,0.33010557
0.9200638,0.3781604
0.806584,0.32039014
-0.14079043,0.35681993
-0.55631495,0.37223473
1.0399963,0.29537132
1.6254989,0.36014023
1.273023,0.2972643
0.83513516,0.31777155
1.0029233,0.31576458
0.41198078,0.34392294
0.95256686,0.34421527
1.0658076,0.34171867
0.9404966,0.3537098
1.3196927,0.30821842
1.272068,0.3486322
0.99734414,0.31157824
1.4590465,0.35519284
1.0978986,0.347441
-0.19657093,0.4050233
1.358378,0.31053245
0.2730757,0.35973838
-0.38753533,0.3531745
0.6767015,0.36883044
1.0725853,0.34500605
1.0250872,0.32125282
0.7952046,0.29835024
-0.064081624,0.3814772
0.16916409,0.3632857
0.13395512,0.34464556
0.8360452,0.357846
-0.22509894,0.37167126
-0.019526469,0.35130647
-0.57166535,0.32306978
1.2165165,0.3597123
1.5727532,0.314427
0.90100765,0.32106838
0.9086128,0.35374025
0.15949343,0.32409143
1.2089642,0.3457642
0.74958104,0.33951107
1.4043007,0.34446588
0.16278003,0.33720243
-0.30343628,0.3521656
0.5052369,0.33202603
0.77177286,0.36275852
0.7517485,0.31396404
0.23405716,0.34128913
0.9753286,0.28173813
0.4763433,0.31336
0.4202315,0.39301714
0.5891968,0.3640148
1.422117,0.32117495
0.03322567,0.35285226
1.4481529,0.31744832
0.7264572,0.33365104
0.90374726,0.3490837
1.7248132,0.3085985
0.46309313,0.33167994
