dq,naive
-2.9961267,0.38842198
2.4249067,0.22231404
-2.195642,0.63433605
7.363896,0.058740035
0.44280702,0.4109321
-0.90061736,0.01965603
7.3320103,0.11219593
3.7121894,0.787116
-6.1055975,0.542426
-8.604723,0.817316
0.081633575,0.226966
3.2741446,0.5505539
-0.37580204,0.597992
1.268716,0.19498198
-2.5134559,0.248104
1.0806408,0.18248402
-5.8328247,0.56119597
2.193673,0.272594
1.951941,0.36686403
-5.353477,0.80441403
1.381678,0.41940996
-6.836406,0.616426
5.4542265,-0.265656
0.64694005,0.30084804
-0.0891664,0.46547997
1.780807,0.27399203
-4.1687346,0.34802797
3.5964642,0.43307596
-4.635263,0.8901719
-0.66199255,0.43484396
2.038003,0.43300804
-2.7595265,0.16590007
-0.87967557,0.32103598
3.1173968,0.39578596
-2.541571,0.25916398
-1.5023962,0.50576603
-3.9616594,0.434384
4.8283725,0.13353199
7.675392,-0.100666
5.4258366,0.05329805
1.6900996,0.13381794
2.7420204,0.12571797
2.724055,0.7275019
-4.009618,0.66783994
-8.686445,0.7585039
3.861035,-0.010608008
5.7800035,0.005639987
3.7854915,0.31853598
1.3578942,0.10095802
4.7696533,0.19131401
-0.4777715,0.60912
-1.9608063,0.09420197
0.07710518,0.42719403
2.778317,-0.11437996
-0.9766197,0.250042
1.5183544,0.33691806
0.6314301,0.030838037
-3.956404,0.57603997
-0.58058786,0.45306802
0.34213683,0.43971992
2.9245143,0.07941
6.2709546,0.43315595
1.4481754,0.44023994
1.9909832,0.229254
-0.21848057,0.3998881
2.0374582,0.363496
3.9356534,0.47758004
1.759616,0.58725995
0.9409129,0.47706395
1.1947585,0.340608
6.152469,0.30317593
0.7515906,0.58233595
-3.995557,0.37157208
2.7919834,0.225074
-3.6989899,0.46733993
-4.4124975,0.27750006
-1.7285144,0.28314602
0.28425023,0.34913602
-2.0203693,0.66407996
-0.54546475,0.54367
0.85976464,-0.0652
-5.8748517,0.26388597
6.0531344,0.03625202
6.4511952,0.11548402
-0.18256855,0.4819579
-0.53285897,0.58120793
3.7813585,0.28311002
4.2236705,-0.023359949
4.924312,0.48139605
-6.705489,0.425754
1.9851242,0.049357973
-0.7448656,0.2099
1.750369,0.16326605
7.2567806,-0.063048
0.06701455,0.520896
-3.9637203,0.63804597
-2.7052896,0.36329204
8.500108,0.34604603
1.119808,0.44725206
-1.7244457,0.3890839
-0.76464826,0.16043203
3.6786273,0.24254598
0.79919004,0.038667973
3.8863454,-0.11042406
-3.0306609,0.56606
-0.7895832,0.049169995
1.1988939,0.23694398
-1.6876336,0.06316206
-8.38675,0.5255241
3.5143445,0.24720801
2.0052285,-0.05826195
-0.21984297,0.33376196
4.721915,-0.44439805
2.0041203,0.699944
1.9885566,0.239572
1.7295133,-0.041707985
0.35321465,0.45122197
-0.78650725,0.27532002
5.224548,0.361164
3.4861825,0.24205205
1.9272639,0.12416604
-2.4841714,0.45325595
2.1817133,0.14640199
12.318689,-0.458854
8.036356,-0.16360794
-0.0335792,0.23028003
-2.8121276,0.49631006
6.438339,0.361246
-8.280518,0.7570579
1.7266481,0.000926062
0.4017543,-0.003501996
-3.5407195,0.36898404
3.6996117,0.14979002
1.1575006,0.137736
-0.2622995,0.31043798
1.5463103,0.21634199
6.3348403,0.10692399
4.58827,0.11168193
0.26722327,0.026603948
2.1784923,-0.087959945
-6.618278,0.565686
4.8005095,0.29184398
7.2347116,0.24460599
2.9614587,-0.0042900178
0.45988983,0.32831395
-1.2155591,0.29178196
7.3174186,0.068169974
3.5118306,0.23206197
10.314711,0.015468091
-3.6249738,0.32023397
1.235415,0.25192404
-1.2691501,0.13684197
-4.9157863,0.54846597
-1.6890566,0.22877395
1.0504732,0.35531196
-0.9831139,0.4391039
5.549173,0.28309405
-2.1732633,0.36114597
-8.486508,0.462582
5.6808586,0.13946402
-2.1298277,0.695484
2.3291152,0.33982393
-2.7061074,0.51997197
-2.0797212,0.16621402
-6.46931,0.24891193
-3.464214,-0.001384021
5.180598,-0.012667981
2.0192904,-0.13101994
-0.49337396,0.17743598
0.75715977,0.26418802
7.0446553,-0.33338797
2.9367096,-0.004128052
7.2015357,-0.014337989
7.0049586,0.20792605
0.07361406,0.4373799
1.6803162,0.16611798
1.6423453,0.57382596
3.2502608,0.363742
0.13274434,0.5326439
6.7983084,-0.026609961
0.48572636,0.320878
